The Shawshank Redemption (1994)
For a Few Dollars More (1965)
Mr. Smith Goes to Washington (1939)
Snatch. (2000)
Toy Story (1995)
On the Waterfront (1954)
The Great Escape (1963)
Downfall (2004)
Pan's Labyrinth (2006)
Up (2009)
The General (1926)
The Seventh Seal (1957)
Heat (1995)
The Elephant Man (1980)
The Maltese Falcon (1941)
The Kid (1921)
Blade Runner (1982)
Wild Strawberries (1957)
Rebecca (1940)
Scarface (1983)
Ikiru (1952)
Ran (1985)
Fargo (1996)
Gran Torino (2008)
Touch of Evil (1958)
The Big Lebowski (1998)
The Gold Rush (1925)
The Deer Hunter (1978)
Cool Hand Luke (1967)
It Happened One Night (1934)
Diabolique (1955)
No Country for Old Men (2007)
The Sixth Sense (1999)
"Lock, Stock and Two Smoking Barrels (1998)"
Jaws (1975)
Good Will Hunting (1997)
Strangers on a Train (1951)
Casino (1995)
Judgment at Nuremberg (1961)
The Grapes of Wrath (1940)
The Wizard of Oz (1939)
Platoon (1986)
Sin City (2005)
Butch Cassidy and the Sundance Kid (1969)
Kill Bill: Vol. 1 (2003)
The Thing (1982)
Trainspotting (1996)
Gone with the Wind (1939)
High Noon (1952)
Annie Hall (1977)
Hotel Rwanda (2004)
The Hunt (2012)
Warrior (2011)
The Secret in Their Eyes (2009)
Finding Nemo (2003)
My Neighbor Totoro (1988)
V for Vendetta (2005)
Notorious (1946)
Dial M for Murder (1954)
The Avengers (2012)
How to Train Your Dragon (2010)
Life of Brian (1979)
Into the Wild (2007)
The Best Years of Our Lives (1946)
Network (1976)
The Terminator (1984)
Million Dollar Baby (2004)
There Will Be Blood (2007)
Ben-Hur (1959)
The Night of the Hunter (1955)
The Big Sleep (1946)
The King's Speech (2010)
Stand by Me (1986)
The 400 Blows (1959)
Twelve Monkeys (1995)
Groundhog Day (1993)
Donnie Darko (2001)
Dog Day Afternoon (1975)
Amores Perros (2000)
Howl's Moving Castle (2004)
Mary and Max (2009)
Gandhi (1982)
The Bourne Ultimatum (2007)
A Beautiful Mind (2001)
Persona (1966)
The Killing (1956)
The Graduate (1967)
Rush (2013)
Black Swan (2010)
The Princess Bride (1987)
Who's Afraid of Virginia Woolf? (1966)
The Hustler (1961)
The Man Who Shot Liberty Valance (1962)
La Strada (1954)
Anatomy of a Murder (1959)
8½ (1963)
The Manchurian Candidate (1962)
Rocky (1976)
The Exorcist (1973)
Slumdog Millionaire (2008)
In the Name of the Father (1993)
Stalag 17 (1953)
Rope (1948)
The Wild Bunch (1969)
Barry Lyndon (1975)
"Monsters, Inc. (2001)"
Fanny and Alexander (1982)
Infernal Affairs (2002)
The Truman Show (1998)
Roman Holiday (1953)
Life of Pi (2012)
Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Memories of Murder (2003)
All Quiet on the Western Front (1930)
Harry Potter and the Deathly Hallows: Part 2 (2011)
Sleuth (1972)
Stalker (1979)
Jurassic Park (1993)
A Streetcar Named Desire (1951)
Star Trek (2009)
Ratatouille (2007)
Ip Man (2008)
A Fistful of Dollars (1964)
The Diving Bell and the Butterfly (2007)
The Hobbit: An Unexpected Journey (2012)
District 9 (2009)
Shutter Island (2010)
Rain Man (1988)
Incendies (2010)
Rosemary's Baby (1968)
La Haine (1995)
3 Idiots (2009)
The Artist (2011)
Nausicaä of the Valley of the Wind (1984)
Beauty and the Beast (1991)
Three Colors: Red (1994)
Bringing Up Baby (1938)
Mystic River (2003)
In the Heat of the Night (1967)
Arsenic and Old Lace (1944)
Before Sunrise (1995)
Papillon (1973) 
